timestamp,VTHO,PLA,OCE,SHA,DBET,EHrT,TIC,YEET,Other
1549771980000,1170777.65,1655575.98,0.00,2947564.93,497352.09,0.00,0.00,0.00,0.00
1549782080000,1170768.54,1655585.10,0.00,2947564.93,497352.09,0.00,0.00,0.00,0.00
1549792150000,1155929.23,1657073.81,0.00,2912528.81,506745.71,0.00,0.00,0.00,0.00
1549802370000,1209047.12,1623499.62,0.00,2942305.55,507145.71,0.00,0.00,0.00,0.00
1549812570000,1208935.87,1623499.62,0.00,2905040.44,507145.71,0.00,0.00,0.00,0.00
1549822730000,1205690.51,1623499.62,0.00,2905040.44,507145.71,0.00,0.00,0.00,0.00
1549832880000,1201152.71,1623609.87,0.00,2905040.44,507145.71,0.00,0.00,0.00,0.00
1549842990000,1197015.29,1623609.87,0.00,2905040.44,507145.71,0.00,0.00,0.00,0.00
1549853090000,1197015.29,1623609.87,0.00,2905040.44,507145.71,0.00,0.00,0.00,0.00
1549863180000,1196829.11,1623609.87,0.00,2905050.44,507145.71,0.00,0.00,0.00,0.00
1549873350000,1211813.47,1623609.87,0.00,2905054.73,507145.71,0.00,0.00,0.00,0.00
1549883480000,1211813.47,1648609.87,0.00,2905054.73,507145.71,0.00,0.00,0.00,0.00
1549893540000,1211813.47,1649365.79,0.00,2954645.78,507145.71,0.00,0.00,0.00,0.00
1549903610000,1214527.21,1649465.79,0.00,2941584.76,507167.71,0.00,0.00,0.00,0.00
1549913750000,1207109.64,1658814.33,0.00,2941605.50,507167.71,0.00,0.00,0.00,0.00
1549923870000,1194039.46,1658814.33,0.00,2971759.26,507167.71,0.00,0.00,0.00,0.00
1549933950000,1194039.46,1658814.33,0.00,2986696.71,492230.26,0.00,0.00,0.00,0.00
1549944070000,1193733.91,1658814.33,0.00,2986696.71,492230.26,0.00,0.00,0.00,0.00
1549954170000,1193733.91,1658814.33,0.00,2986696.71,492230.26,0.00,0.00,0.00,0.00
1549964260000,1193518.37,1584192.12,0.00,2986912.24,492230.26,0.00,0.00,0.00,0.00
1549974390000,1193518.37,1579834.52,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1549984510000,1193453.37,1579834.52,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1549994670000,1191631.49,1601784.52,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1550004820000,1191631.49,1607763.25,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1550014940000,1191488.30,1622906.44,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1550025040000,1191488.30,1622906.44,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1550035180000,1191488.30,1622906.44,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1550045270000,1190969.18,1598093.73,0.00,3011912.24,492230.26,0.00,0.00,0.00,0.00
1550055340000,1190969.18,1610054.68,0.00,2958370.90,492230.26,0.00,0.00,0.00,0.00
1550065340000,1189936.24,1439102.99,0.00,2929085.08,492230.26,0.00,0.00,0.00,0.00
1550075340000,1189886.27,1417854.35,0.00,2929135.06,492230.26,0.00,0.00,0.00,0.00
1550085340000,1189814.53,1431252.60,0.00,2929135.06,492230.26,0.00,0.00,0.00,0.00
1550095340000,1187114.98,1428090.16,0.00,2929135.06,492230.26,0.00,0.00,0.00,0.00
1550105340000,1185248.81,1429155.04,0.00,2929135.06,492230.26,0.00,0.00,0.00,0.00
1550115340000,1178746.64,1429155.04,0.00,2929135.06,492230.26,0.00,0.00,0.00,0.00
1550125340000,1178549.83,1441259.33,0.00,2929135.06,492230.26,0.00,0.00,0.00,0.00
1550135340000,1178549.83,1395716.68,0.00,2906756.46,492230.26,0.00,0.00,0.00,0.00
1550145340000,1218549.83,1400692.40,0.00,2906756.46,492230.26,0.00,0.00,0.00,0.00
1550155340000,1218549.83,1400692.40,0.00,2875133.48,492230.26,0.00,0.00,0.00,0.00
1550165350000,1212842.74,1381986.45,0.00,2881401.71,492230.26,0.00,0.00,0.00,0.00
1550175350000,1212842.67,1406986.52,0.00,2961401.71,492230.26,0.00,0.00,0.00,0.00
1550185350000,1209037.42,1408465.70,0.00,2961401.71,492230.26,0.00,0.00,0.00,0.00
1550195360000,1208242.36,1408465.70,0.00,2961401.71,492230.26,0.00,0.00,0.00,0.00
1550205370000,1208407.49,1408689.19,0.00,2998758.06,454484.77,0.00,0.00,0.00,0.00
1550215380000,1204975.83,1408689.19,0.00,3035889.27,417353.56,0.00,0.00,0.00,0.00
1550225380000,1205102.56,1408689.19,0.00,3011107.69,417353.56,0.00,0.00,0.00,0.00
1550235380000,1202160.12,1409200.62,0.00,3011107.69,417353.56,0.00,0.00,0.00,0.00
1550245390000,1199644.45,1389848.06,0.00,2971457.16,417353.56,0.00,0.00,0.00,0.00
1550255400000,1198645.43,1389848.06,0.00,2971457.16,417353.56,0.00,0.00,0.00,0.00
1550265400000,1198537.34,1377256.59,0.00,2971457.16,417353.56,0.00,0.00,0.00,0.00
1550275400000,1197821.71,1377256.59,0.00,2971457.16,417353.56,0.00,0.00,0.00,0.00
1550285400000,1197623.54,1377307.13,0.00,2971457.16,417353.56,0.00,0.00,0.00,0.00
1550295400000,1197623.54,1414804.10,0.00,2971457.16,417353.56,0.00,0.00,0.00,0.00
1550305400000,1197623.54,1371058.39,0.00,2971457.16,417353.56,0.00,0.00,0.00,0.00
